Jerarquía;Descripción;esHoja;Puntuación
1.2.11.681.695.731;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.11.681.696;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.11.681.696.732;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.11.681.696.733;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.11.681.696.734;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.11.681.697;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.11.681.697.735;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.11.681.697.736;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.11.681.697.737;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.11.681.698;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.11.681.698.738;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.11.681.698.739;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.11.681.698.740;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.11.681.699;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.11.681.699.741;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.11.681.699.742;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.11.681.699.743;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.11.681.700;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.11.681.700.744;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.11.681.700.745;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.11.681.700.746;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.11.681.701;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.11.681.701.747;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.11.681.701.748;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.11.681.701.749;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.11.682;Documento > Párrafos > Párrafo > WidowControl;true;1
1.2.11.683;Documento > Párrafos > Párrafo > Range;false;0
1.2.11.683.750;Documento > Párrafos > Párrafo > Range > Bordes;false;0
1.2.11.683.750.759;Documento > Párrafos > Párrafo > Range > Bordes > Borde;true;0
1.2.11.683.750.760;Documento > Párrafos > Párrafo > Range > Bordes > Borde;true;0
1.2.11.683.750.761;Documento > Párrafos > Párrafo > Range > Bordes > Borde;true;0
1.2.11.683.750.762;Documento > Párrafos > Párrafo > Range > Bordes > Borde;true;0
1.2.11.683.750.763;Documento > Párrafos > Párrafo > Range > Bordes > Borde;true;0
1.2.11.683.750.764;Documento > Párrafos > Párrafo > Range > Bordes > Borde;true;0
1.2.11.683.750.765;Documento > Párrafos > Párrafo > Range > Bordes > Borde;true;0
1.2.11.683.751;Documento > Párrafos > Párrafo > Range > Shading;true;0
1.2.11.683.752;Documento > Párrafos > Párrafo > Range > Bold;true;1
1.2.11.683.753;Documento > Párrafos > Párrafo > Range > Font;false;0
1.2.11.683.753.766;Documento > Párrafos > Párrafo > Range > Font > Shading;false;0
1.2.11.683.753.766.786;Documento > Párrafos > Párrafo > Range > Font > Shading > BackgroundPatternColor;true;1
1.2.11.683.753.766.787;Documento > Párrafos > Párrafo > Range > Font > Shading > ForegroundPatternColor;true;1
1.2.11.683.753.766.788;Documento > Párrafos > Párrafo > Range > Font > Shading > Texture;true;1
1.2.11.683.753.767;Documento > Párrafos > Párrafo > Range > Font > Color;true;1
1.2.11.683.753.768;Documento > Párrafos > Párrafo > Range > Font > Bold;true;1
1.2.11.683.753.769;Documento > Párrafos > Párrafo > Range > Font > Italic;true;1
1.2.11.683.753.770;Documento > Párrafos > Párrafo > Range > Font > Underline;true;1
1.2.11.683.753.771;Documento > Párrafos > Párrafo > Range > Font > DoubleStrikeThrough;true;1
1.2.11.683.753.772;Documento > Párrafos > Párrafo > Range > Font > Emboss;true;1
1.2.11.683.753.773;Documento > Párrafos > Párrafo > Range > Font > Engrave;true;1
1.2.11.683.753.774;Documento > Párrafos > Párrafo > Range > Font > Kerning;true;1
1.2.11.683.753.775;Documento > Párrafos > Párrafo > Range > Font > Name;true;0
1.2.11.683.753.776;Documento > Párrafos > Párrafo > Range > Font > Outline;true;1
1.2.11.683.753.777;Documento > Párrafos > Párrafo > Range > Font > Position;true;1
1.2.11.683.753.778;Documento > Párrafos > Párrafo > Range > Font > Scaling;true;1
1.2.11.683.753.779;Documento > Párrafos > Párrafo > Range > Font > Shadow;true;1
1.2.11.683.753.780;Documento > Párrafos > Párrafo > Range > Font > Size;true;1
1.2.11.683.753.781;Documento > Párrafos > Párrafo > Range > Font > Spacing;true;1
1.2.11.683.753.782;Documento > Párrafos > Párrafo > Range > Font > StrikeThrough;true;1
