Jerarquía;Descripción;esHoja;Puntuación
1.2.9.237.257;Documento > Párrafos > Párrafo > Letra capital > Posición;true;1
1.2.9.249.258;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.9.249.258.259;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.9.249.258.260;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.9.249.258.261;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.9.251.262;Documento > Párrafos > Párrafo > Range > Bordes;false;0
1.2.9.251.263;Documento > Párrafos > Párrafo > Range > Shading;false;0
1.2.9.251.264;Documento > Párrafos > Párrafo > Range > Bold;true;1
1.2.9.251.265;Documento > Párrafos > Párrafo > Range > Font;false;0
1.2.9.251.266;Documento > Párrafos > Párrafo > Range > HighlightColorIndex;true;1
1.2.9.251.267;Documento > Párrafos > Párrafo > Range > InlineShapes;true;0
1.2.9.251.268;Documento > Párrafos > Párrafo > Range > Italic;true;1
1.2.9.251.269;Documento > Párrafos > Párrafo > Range > Text;true;1
1.2.9.251.270;Documento > Párrafos > Párrafo > Range > Underline;true;1
1.2.9.251.262.271;Documento > Párrafos > Párrafo > Range > Bordes > Borde;false;0
1.2.9.251.262.272;Documento > Párrafos > Párrafo > Range > Bordes > Borde;false;0
1.2.9.251.262.273;Documento > Párrafos > Párrafo > Range > Bordes > Borde;false;0
1.2.9.251.262.274;Documento > Párrafos > Párrafo > Range > Bordes > Borde;false;0
1.2.9.251.262.275;Documento > Párrafos > Párrafo > Range > Bordes > Borde;false;0
1.2.9.251.262.276;Documento > Párrafos > Párrafo > Range > Bordes > Borde;false;0
1.2.9.251.262.277;Documento > Párrafos > Párrafo > Range > Bordes > Borde;false;0
1.2.9.251.262.278;Documento > Párrafos > Párrafo > Range > Bordes > Dist. Inferior;true;0
1.2.9.251.262.279;Documento > Párrafos > Párrafo > Range > Bordes > Dist. Izquierda;true;0
1.2.9.251.262.280;Documento > Párrafos > Párrafo > Range > Bordes > Dist. Derecha;true;0
1.2.9.251.262.281;Documento > Párrafos > Párrafo > Range > Bordes > Dist. Superior;true;0
1.2.9.251.262.271.282;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Estilo de línea;true;1
1.2.9.251.262.271.283;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Ancho de línea;true;1
1.2.9.251.262.271.284;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Color;true;1
1.2.9.251.262.272.285;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Estilo de línea;true;1
1.2.9.251.262.272.286;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Ancho de línea;true;1
1.2.9.251.262.272.287;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Color;true;1
1.2.9.251.262.273.288;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Estilo de línea;true;1
1.2.9.251.262.273.289;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Ancho de línea;true;1
1.2.9.251.262.273.290;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Color;true;1
1.2.9.251.262.274.291;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Estilo de línea;true;1
1.2.9.251.262.274.292;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Ancho de línea;true;1
1.2.9.251.262.274.293;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Color;true;1
1.2.9.251.262.275.294;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Estilo de línea;true;1
1.2.9.251.262.275.296;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Color;true;1
1.2.9.251.262.276.297;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Estilo de línea;true;1
1.2.9.251.262.276.299;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Color;true;1
1.2.9.251.262.277.300;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Estilo de línea;true;1
1.2.9.251.262.277.302;Documento > Párrafos > Párrafo > Range > Bordes > Borde > Color;true;1
1.2.9.251.263.303;Documento > Párrafos > Párrafo > Range > Shading > BackgroundPatternColor;true;1
1.2.9.251.263.304;Documento > Párrafos > Párrafo > Range > Shading > ForegroundPatternColor;true;1
1.2.9.251.263.305;Documento > Párrafos > Párrafo > Range > Shading > Texture;true;1
1.2.9.251.265.306;Documento > Párrafos > Párrafo > Range > Font > Shading;false;0
1.2.9.251.265.307;Documento > Párrafos > Párrafo > Range > Font > Color;true;1
1.2.9.251.265.308;Documento > Párrafos > Párrafo > Range > Font > Bold;true;1
1.2.9.251.265.309;Documento > Párrafos > Párrafo > Range > Font > Italic;true;1
1.2.9.251.265.310;Documento > Párrafos > Párrafo > Range > Font > Underline;true;1
1.2.9.251.265.311;Documento > Párrafos > Párrafo > Range > Font > DoubleStrikeThrough;true;1
1.2.9.251.265.312;Documento > Párrafos > Párrafo > Range > Font > Emboss;true;1
1.2.9.251.265.313;Documento > Párrafos > Párrafo > Range > Font > Engrave;true;1
1.2.9.251.265.314;Documento > Párrafos > Párrafo > Range > Font > Kerning;true;1
1.2.9.251.265.315;Documento > Párrafos > Párrafo > Range > Font > Name;true;1
1.2.9.251.265.316;Documento > Párrafos > Párrafo > Range > Font > Outline;true;1
1.2.9.251.265.317;Documento > Párrafos > Párrafo > Range > Font > Position;true;1
1.2.9.251.265.318;Documento > Párrafos > Párrafo > Range > Font > Scaling;true;1
1.2.9.251.265.319;Documento > Párrafos > Párrafo > Range > Font > Shadow;true;1
1.2.9.251.265.320;Documento > Párrafos > Párrafo > Range > Font > Size;true;1
1.2.9.251.265.321;Documento > Párrafos > Párrafo > Range > Font > Spacing;true;1
1.2.9.251.265.322;Documento > Párrafos > Párrafo > Range > Font > StrikeThrough;true;1
1.2.9.251.265.323;Documento > Párrafos > Párrafo > Range > Font > Subscript;true;1
1.2.9.251.265.324;Documento > Párrafos > Párrafo > Range > Font > Superscript;true;1
1.2.9.251.265.325;Documento > Párrafos > Párrafo > Range > Font > UnderlineColor;true;1
1.2.9.251.265.306.326;Documento > Párrafos > Párrafo > Range > Font > Shading > BackgroundPatternColor;true;1
1.2.9.251.265.306.327;Documento > Párrafos > Párrafo > Range > Font > Shading > ForegroundPatternColor;true;1
1.2.9.251.265.306.328;Documento > Párrafos > Párrafo > Range > Font > Shading > Texture;true;1
1.2.9.253.329;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo > Formato de lista;false;0
1.2.9.253.329.330;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo > Formato de lista > Nivel de lista;true;1
1.2.9.253.329.331;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo > Formato de lista > Expr. Lista;true;1
1.2.9.253.329.332;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo > Formato de lista > Tipo de lista;true;1
